[0.041s] Invoking command in '/home/midday/turtlebot3_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/midday/turtlebot3_ws/install/turtlebot3_teleop:/home/midday/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --build /home/midday/turtlebot3_ws/build/turtlebot3_description -- -j12 -l12
[0.297s] Invoked command in '/home/midday/turtlebot3_ws/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/midday/turtlebot3_ws/install/turtlebot3_teleop:/home/midday/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --build /home/midday/turtlebot3_ws/build/turtlebot3_description -- -j12 -l12
[0.331s] Invoking command in '/home/midday/turtlebot3_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/midday/turtlebot3_ws/install/turtlebot3_teleop:/home/midday/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --install /home/midday/turtlebot3_ws/build/turtlebot3_description
[0.343s] -- Install configuration: ""
[0.343s] -- Execute custom install script
[0.343s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base.stl
[0.343s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base.stl
[0.343s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base.stl
[0.344s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/astra.dae
[0.344s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/astra.jpg
[0.344s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/lds.stl
[0.344s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/r200.dae
[0.344s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/r200.jpg
[0.344s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/left_tire.stl
[0.344s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/right_tire.stl
[0.345s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/rviz/model.rviz
[0.345s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/common_properties.urdf
[0.345s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_burger.urdf
[0.345s] -- Up-to-date symlink: /home/midday/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_waffle.urdf
